"申诉成功后，连带的扣分是不是一起被删除？",13
"区经每月有6分的豁免，什么类型的扣分可以豁免？",12
"扣分扣错了，店长申诉了，申诉后还扣分吗？",11
"研发部测试问题编辑问题部门未带出来关建词",4
"本人签了限时代卖的房源，在不知情的情况下被其他门店签了居间中保，怀疑是同一组客户。可否找回分成？",15
"限时代卖实收佣金少于合同签署的比例，销售方也未与签署方沟通，是否可以要求销售方补齐佣金？",6
"怀疑是为完成3000业绩玩路子，同一套房子，且是同一位客户，却签署了两份合同，并且由两个新人分别提交。",8
"已在[阅读权限]里设置角色id，但拥有该角色的人为什么看不到帖子内容？",10
"房源成交后，可否由系统自动删除钥匙及钥匙分成人？",5
"成交后系统能不能自动取消钥匙和钥匙分成人呢？",1
